                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    112,                 1.1827,                0.97448,                 1.6714,                0.84849,                0.68254,                0.79289,                0.51611,                 1.3124,                 1.3091,                 2.0567,             0.00055708,             0.00055708,             0.00055708
                    113,                  1.121,                0.95947,                 1.6377,                0.79837,                0.71429,                0.81057,                0.55907,                 1.2574,                 1.1563,                 1.9146,             0.00055566,             0.00055566,             0.00055566
                    114,                 1.2204,                 1.0212,                 1.7144,                0.74095,                0.80952,                 0.8386,                0.61396,                 1.1159,                   1.14,                 1.8367,             0.00055425,             0.00055425,             0.00055425
                    115,                 1.2077,                 0.9953,                  1.658,                0.85463,                0.79365,                0.88154,                0.63722,                 1.1685,                0.91737,                 1.8182,             0.00055284,             0.00055284,             0.00055284
                    116,                  1.148,                0.97565,                 1.6769,                0.82798,                0.76406,                0.81817,                0.56671,                 1.2669,                 1.0916,                 1.9039,             0.00055142,             0.00055142,             0.00055142
                    117,                 1.2102,                0.99629,                  1.684,                0.83709,                0.74603,                0.83639,                0.55926,                 1.2144,                 1.1433,                 1.9079,             0.00055001,             0.00055001,             0.00055001
                    118,                 1.1916,                0.97996,                 1.6814,                 0.8642,                0.74603,                0.83861,                0.57328,                 1.2122,                 1.2054,                 1.8799,             0.00054859,             0.00054859,             0.00054859
                    119,                 1.1485,                0.93572,                 1.6335,                0.71826,                0.73016,                0.77744,                0.53182,                 1.2662,                 1.1916,                 1.9833,             0.00054718,             0.00054718,             0.00054718
                    120,                 1.1401,                0.96896,                 1.6442,                0.92151,                0.74542,                0.84419,                0.58461,                 1.1506,                 1.0807,                 1.8187,             0.00054577,             0.00054577,             0.00054577
                    121,                  1.122,                0.96661,                 1.6317,                0.79905,                0.74603,                0.79897,                0.54291,                 1.2215,                 1.1894,                 1.9448,             0.00054435,             0.00054435,             0.00054435
                    122,                 1.0553,                0.90706,                 1.6112,                0.80202,                 0.8254,                0.82537,                0.57355,                 1.1909,                 1.1117,                 1.8589,             0.00054294,             0.00054294,             0.00054294
                    123,                 1.1725,                 0.9758,                  1.615,                0.88101,                 0.7052,                0.81726,                0.57065,                 1.2044,                 1.2036,                 1.9102,             0.00054153,             0.00054153,             0.00054153
                    124,                 1.1802,                0.99004,                 1.6783,                0.89016,                0.79365,                0.85966,                0.59624,                 1.1332,                0.99491,                 1.8252,             0.00054011,             0.00054011,             0.00054011
                    125,                 1.0959,                0.98877,                 1.6604,                0.85999,                 0.7619,                0.84597,                0.58988,                  1.217,                 1.0691,                 1.8925,              0.0005387,              0.0005387,              0.0005387
                    126,                 1.1552,                0.97829,                 1.6003,                0.85927,                0.80952,                0.84123,                0.56053,                 1.2711,                 1.0792,                 1.9255,             0.00053728,             0.00053728,             0.00053728
                    127,                 1.1931,                0.99398,                  1.653,                0.82109,                0.79365,                0.86921,                0.61194,                 1.0951,                0.95808,                 1.8038,             0.00053587,             0.00053587,             0.00053587
                    128,                 1.0894,                0.89718,                 1.5866,                0.85613,                0.75573,                 0.8579,                0.60358,                 1.1377,                0.96767,                 1.8081,             0.00053446,             0.00053446,             0.00053446
                    129,                 1.1759,                0.98323,                 1.6197,                0.93234,                0.65623,                0.79954,                0.55778,                 1.2343,                 1.1447,                 1.9491,             0.00053304,             0.00053304,             0.00053304
                    130,                 1.1246,                0.93618,                 1.6199,                0.85151,                0.81925,                 0.8756,                 0.6256,                 1.1166,                 1.0175,                 1.8315,             0.00053163,             0.00053163,             0.00053163
                    131,                 1.1028,                 0.9195,                 1.6052,                0.85156,                 0.7285,                0.83227,                0.60716,                 1.1456,                 1.0015,                 1.8434,             0.00053022,             0.00053022,             0.00053022
                    132,                 1.1911,                0.96063,                  1.611,                0.92039,                0.73016,                0.86509,                0.65028,                 1.0993,                0.99881,                 1.7619,              0.0005288,              0.0005288,              0.0005288
