                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    101,                0.24901,                   0.28,                 0.8998,                0.46038,                0.14286,                0.26118,                 0.0949,                 2.1901,                 3.3279,                 3.4739,             0.00057263,             0.00057263,             0.00057263
                    102,                0.29136,                0.29619,                0.90266,                0.44183,                0.12571,                 0.2146,                0.07071,                 2.2579,                 3.2968,                 3.5016,             0.00057121,             0.00057121,             0.00057121
                    103,                0.28396,                0.29305,                0.89083,                0.33258,                0.07911,                0.17206,                0.04466,                  2.258,                 3.5644,                 3.4823,              0.0005698,              0.0005698,              0.0005698
                    104,                 0.2939,                0.29237,                0.89369,                0.30491,                0.07937,                0.17798,                 0.0548,                  2.164,                 3.5146,                 3.4803,             0.00056839,             0.00056839,             0.00056839
                    105,                0.27731,                0.27303,                0.89428,                0.47293,                0.09994,                 0.2194,                0.07816,                 2.1173,                  3.474,                 3.5354,             0.00056697,             0.00056697,             0.00056697
                    106,                0.27658,                0.27407,                0.88732,                0.37816,                0.12555,                0.24674,                0.07362,                 2.2575,                 3.2929,                 3.5566,             0.00056556,             0.00056556,             0.00056556
                    107,                 0.2936,                0.28683,                0.90039,                0.34497,                0.09524,                0.16848,                  0.056,                 2.2088,                 3.4491,                 3.5106,             0.00056415,             0.00056415,             0.00056415
                    108,                 0.2587,                0.26143,                0.88174,                0.38861,                0.12698,                0.15583,                0.05142,                 2.1496,                 3.5524,                 3.5142,             0.00056273,             0.00056273,             0.00056273
                    109,                0.25982,                0.25765,                0.89226,                0.47436,                0.10053,                0.18102,                0.06814,                 2.1229,                 3.6558,                 3.5197,             0.00056132,             0.00056132,             0.00056132
                    110,                0.28515,                0.27697,                 0.8941,                0.44106,                0.11111,                 0.2083,                0.07147,                 2.2039,                 3.5485,                 3.5847,              0.0005599,              0.0005599,              0.0005599
                    111,                0.26791,                0.27004,                0.88676,                 0.5622,                0.07937,                 0.2278,                0.07014,                 2.1971,                 3.4998,                 3.5375,             0.00055849,             0.00055849,             0.00055849
                    112,                0.25754,                0.26461,                  0.887,                0.63835,                0.11215,                 0.3115,                0.09533,                 2.1564,                 3.5633,                 3.4752,             0.00055708,             0.00055708,             0.00055708
                    113,                0.27148,                0.26836,                0.88836,                0.37625,                0.31746,                0.25375,                 0.0859,                   2.15,                  3.671,                 3.4741,             0.00055566,             0.00055566,             0.00055566
